,,,,,,,,,,,,,,,,,,,Monthly Spending Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category F,B.06732,03,,,, -   , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0.8 , 1 , -   , 1 , -   , 0 , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2020-05,Market E,Plant B,Category F,B.06824,03,,,, -   , (6), 5 , 28 , 35 , 35 , 37 , 37 , 37 , 37 , (6), -   , 10 , 23 , 2 , 5 , 2 , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market E,Plant B,Category F,B.06827,03, 487 , 455 , 455 , 548 , 544 , 595 , 531 , 496 , 484 , 526 , 557 , 603 , 603 , 24 , 52 , 170 , 52 , 56 , 9 , 34 , 37 , 65 , 4 , 50 , 50 ,,,,,,,,,,,,,,,,,,,,,,
2019-08,Market E,Plant B,Category A,B.06829,04, 27 , 27 , 27 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08,Market E,Plant B,Category F,B.06829,04, 100 , 100 , 142 , 142 , 50 , 51 , 17 , 16 , 23 , 32 , 32 , 32 , 32 , 10 , 11 , (1), 1 , 1 , (5), 6 , 5 , -   , 0 , 4 , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-12,Market E,Plant B,Category C,B.06830,01, 40 , 25 , 25 , 25 , 25 , 25 , 25 , 29 , 29 , 28 , 27 , 27 , 27 , -   , 2 , -   , 11 , -   , 4 , -   , -   , -   , -   , 10 , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-10,Market E,Plant B,Category A,B.06831,01, 403 , 345 , 354 , 256 , 287 , 252 , 241 , 242 , 242 , 294 , 285 , 272 , 272 , 32 , 35 , 54 , 22 , 11 , 1 , 17 , 3 , 6 , 9 , 0 , 83 ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category F,B.07155,03,,,,,,,, 5 , 5 , 5 , 5 , 5 , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,B.07209,01, 54 , 54 , 63 , 63 , 65 , 65 , 65 , 65 , 65 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,B.07209,02,,,,,,,,, 40 , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,B.07209,02, 375 , 375 , 108 , 131 , 131 , 162 , 162 , 162 , 140 , 249 , 248 , 233 , 233 , -   , -   , -   , -   , 0 , -   , 11 , 3 , 53 , 68 , 26 , 72 ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,B.07210,01,,,, -   , -   , 100 , 100 , 100 , 185 , 95 , 95 , 88 , 88 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 11 , 22 , 55 ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category F,B.07213,03," 1,700 "," 1,700 ", 725 , 635 , 634 , 639 , 639 , 939 , 643 , 607 , 614 , 564 , 564 , -   , -   , -   , 5 , 16 , 53 , 78 , 24 , 6 , 21 , 217 , 145 ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category F,B.07214,03,,," 1,150 ", 849 , 849 , 849 , 878 , 878 , 863 ," 1,095 "," 1,041 ", 807 , 807 , -   , -   , -   , -   , 3 , 107 , 57 , 79 , 86 , 89 , 232 , 154 ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category F,B.07215,04,,, 150 , 150 , 150 , 275 , 75 , 75 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category F,B.07216,04,,, 254 , 300 , 303 , 305 , 305 , 305 , 316 , 225 , 225 , 200 , 200 , -   , -   , 3 , 2 , 9 , 30 , -   , 52 , -   , 1 , 50 , 55 ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.25152,03, 25 , 25 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.31000,03, 50 , 50 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.32832,02, 45 , 45 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.33154,04, 90 , 90 , 90 , 90 , 90 , 90 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.35045,02,,, 113 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.35045,02, 113 , 113 , -   , 113 , 113 , 113 , 86 , 86 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.36518,02, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.47543,02, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.50721,04, 200 , 200 , 200 , 200 , 250 , 250 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.51077,02,, -   , 950 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category F,FB.51077,04, 855 , 855 , -   , 198 , 198 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.51079,01,,, 400 , 400 , 400 , 400 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.51079,01, 300 , 300 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.51080,01, 600 , 600 , 600 , 600 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.51080,01,,,, -   , 600 , 600 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.56295,01, 200 , 200 , 200 , 200 , 200 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.58395,01,,, 340 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.58395,01, 306 , 306 , -   , 100 , 270 , 270 , 126 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.58400,04, 250 , 250 , 250 , 250 , 250 , 200 , 200 , 200 , 200 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.58403,01,,, 300 , 300 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.58403,01, 150 , 150 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.58404,02, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.58406,04,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category F,FB.58793,04, 400 , 400 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category F,FB.60633,03,,,,,,, 450 , 450 , 994 , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category F,FB.60715,04, 200 , 200 , 200 , 400 , 500 , 500 , 500 , 500 , 120 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.60737,02, 380 , 380 , 150 , 150 , 150 , 150 , 150 , 120 , 122 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category F,FB.60763,04, 410 , 410 , 410 , 410 , 510 , 510 , 500 , 207 , 200 , 100 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.61069,02, 110 , 110 , 130 , 130 , 130 , 130 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.61071,02,, 175 , 113 , 158 , 158 , 167 , 167 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.XXXXX,02, 200 , 200 , 200 , 200 , 200 , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.XXXXX,02, 175 , 175 , 175 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category F,N/A,03, 500 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,N/A,02, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Dummy,Category F,FB.50913,03,,, 300 , 300 , 300 , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Dummy,Category F,FB.50913,03, 300 , 300 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Dummy,Category C,N/A,03,,, 350 , 350 , 350 , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market E,Plant D,Category C,A.03180,02,,,,,,, 4 , 4 , 4 , 4 , 4 , 4 , 4 , -   , -   , -   , -   , 4 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market E,Plant D,Category C,A.03387,01,,,,,,,,, (2), (2), (2), (2), (2), -   , -   , -   , -   , -   , -   , (2), -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market E,Plant D,Category C,A.03446,02, 26 , 26 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market E,Plant D,Category C,A.03537,01, 16 , 11 , 9 , 9 , 9 , 10 , 3 , 5 , 6 , 5 , 5 , 5 , 5 , 2 , -   , 0 , 1 , -   , -   , 3 , (1), -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-10,Market E,Plant D,Category C,A.03568,02, 258 , 180 , 179 , 179 , 201 , 164 , 186 , 193 , 180 , 215 , 229 , 200 , 200 , 4 , 2 , 36 , (21), 30 , 6 , 59 , 16 , 14 , 31 , 23 , -   ,,,,,,,,,,,,,,,,,,,,,,
2020-03,Market E,Plant D,Category C,A.03699,02, 354 , 322 , 360 , 308 , 289 , 299 , 299 , 294 , 296 , 297 , 297 , 291 , 291 , 5 , 160 , 63 , 27 , 12 , 2 , 20 , -   , 0 , 2 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-09,Market E,Plant D,Category F,B.06805,03, -   , -   , 3 , 3 , 17 , 17 , 17 , 25 , 17 , 17 , 17 , 25 , 25 , 3 , 13 , 0 , 0 , (0), -   , -   , -   , 0 , 7 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-09,Market E,Plant D,Category F,B.06807,04,,,, (1), 30 , 3 , 24 , 43 , 44 , 44 , 47 , 44 , 44 , -   , (1), 31 , (27), 21 , 19 , 1 , -   , 3 , (3), -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-12,Market E,Plant D,Category C,B.06808,01,,,, 56 , 57 , 57 , 21 , 21 , 21 , 21 , 21 , 21 , 21 , -   , 31 , 0 , -   , (10), -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category F,B.07177,03, 320 , 320 , 320 , 376 , 404 , 382 , 642 , 642 , 629 , 790 , 748 , 831 , 831 , -   , 28 , 29 , 7 , 43 , 34 , 21 , 15 , 58 , 60 , 240 , 296 ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category F,B.07177,03,,,,,,,, -   , 150 , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category C,B.07178,03, 25 , 25 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category F,B.07179,04, 212 , 212 , 212 , 229 , 230 , 250 , 222 , 222 , 231 , 192 , 173 , 207 , 207 , -   , 0 , 0 , 20 , 49 , 38 , 9 ,1, 20 , 9 , 4 , 57 ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category C,B.07211,02, 100 , 100 , 100 , 45 , 45 , 45 , 78 , 87 , 83 , 142 , 142 , 77 , 77 , -   , -   , -   , 0 , 67 , 7 , 2 , 0 , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category C,FB.25015,04, 200 , 200 , 200 , 200 , 200 , 200 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category C,FB.31001,03, 50 , 50 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category C,FB.38261,04,,, 90 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category C,FB.38261,04, 90 , 90 , -   , 90 , 90 , 90 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category C,FB.41487,02, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category C,FB.47545,02, 360 , 360 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category C,FB.51085,01,,, 400 , 400 , 400 , 400 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category C,FB.51085,01, 300 , 300 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category C,FB.51086,01, 300 , 300 , 300 , 300 , 300 , 300 , 300 , 300 , 300 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category C,FB.51087,01, 600 , 600 , 600 , 600 , 600 , 600 , 150 , 150 , 150 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category C,FB.56212,01, 360 , 360 , 360 , 360 , 360 , 360 , 248 , 248 , 117 , -   , 72 , 36 , 36 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 36 ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category F,FB.58718,04, 140 , 140 , 140 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category F,N/A,03, 200 , 200 , 200 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category C,N/A,02," 1,200 "," 1,200 "," 1,680 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant F,Category C,N/A,02," 15,000 "," 15,000 "," 7,500 "," 6,000 "," 6,000 "," 6,000 "," 3,000 "," 1,000 "," 1,000 ", -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market F,Dummy,Category F,FB.50914,04, 200 , 200 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market F,Plant E,Category D,A.02453,02," 3,690 "," 3,690 "," 3,422 "," 3,449 "," 3,472 "," 3,872 "," 3,878 "," 3,781 "," 3,672 "," 4,000 "," 4,071 "," 4,046 "," 4,046 ", 281 , 853 ," 1,327 ", 109 , 185 , 213 , 77 , 41 , 472 , 20 , 32 , 436 ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market F,Plant E,Category D,A.02453,02,,,,,,,,,,, -   , 1 , 1 , -   , -   , (2), 3 , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2019-07,Market F,Plant E,Category D,A.02453,02,,,,,,,,,,, -   , (2), (2), (2), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2019-07,Market F,Plant E,Category D,A.02453,02,,,,,,,,,,, -   , 2 , 2 , (22), -   , -   , -   , -   , -   , 24 , -   , -   , -   , -   , -   ,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2019-07,Market F,Plant E,Category D,A.02460,03,,, 130 , 142 , 145 , 145 , 206 , 203 , 203 , 203 , 230 , 237 , 237 , -   , 15 , 10 , 8 , 3 , 47 , 63 , 32 , 30 , 20 , 11 , (2),,,,,,,,,,,,,,,,,,,,,,
2019-07,Market F,Plant E,Category D,A.02744,04, -   ,, 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , 31 , -   , -   , 0 , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market F,Plant E,Category C,A.03235,01, -   , 2 , 2 , -   , (0), (0), (0), (0), (0), (0), (0), (0), (0), -   , -   , (0), -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market F,Plant E,Category E,A.03273,04," 2,175 "," 2,175 "," 2,175 "," 2,175 "," 1,170 "," 1,170 "," 2,000 "," 2,029 "," 2,039 "," 2,006 "," 2,000 "," 1,891 "," 1,891 ", 62 , 32 , 25 , 80 , 88 , 272 , 30 , 207 , 395 , 39 , 524 , 137 ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market F,Plant E,Category B,A.03318,02," 1,890 "," 1,890 "," 2,005 "," 2,052 "," 2,101 "," 2,101 "," 2,110 "," 2,169 "," 2,174 "," 2,203 "," 2,183 "," 2,168 "," 2,168 ", 246 , 164 , 163 , 93 , 694 , 81 , 51 , 38 , 533 , 26 , 34 , 44 ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market F,Plant E,Category B,A.03318,02," 1,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market F,Plant E,Category D,A.03339,02,, -   , 1 , 1 , 1 , 1 , 1 , 3 , 3 , 1 , 3 , 3 , 3 , 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market F,Plant E,Category B,A.03366,01,, -   , 24 , 24 , 24 , 24 , 24 , 24 , 24 , 24 , 26 , 24 , 24 , 24 , (0), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market F,Plant E,Category B,A.03366,01,,,,,,,,,,, -   , 2 , 2 , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market F,Plant E,Category B,A.03395,02, 248 , 248 , 248 , 248 , 253 , 253 , 253 , 258 , 258 , 260 , 302 , 281 , 281 , -   , -   , 38 , -   , -   , 11 , -   , 11 , 19 , 7 , 103 , 92 ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market F,Plant E,Category D,A.03453,01, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-07,Market F,Plant E,Category D,A.03453,01," 1,400 "," 1,400 "," 1,400 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
